patent_id,title,abstract,cpc_code,text
GG0600001,Methods and systems are provided for obtaining information related to a customer service location an,"Methods and systems are provided for obtaining information related to a customer service location and directions for routing a service technician from one customer service location to another. One embodiment includes requesting at least one set of coordinates associated with the customer service location; accessing a technician server to direct a global satellite positioning system to obtain the set of coordinates for the customer service location; obtaining the coordinates and updating one or more databases with said coordinates. The coordinates may include at least one of a latitude and a longitude associated with the customer service location. Another embodiment includes obtaining through a technician server at least one set of “from” coordinates associated with the first customer service location and at least one set of “to” coordinates associated with the second customer location; transmitting the “from” and “to” coordinates to a mapping system; and, generating directions in the mapping system based on the “to” and “from” coordinates. At least one of the sets of coordinates includes latitude and longitude data. System and computer-readable media embodiments of these methods are also provided.",G06N,"Methods and systems are provided for obtaining information related to a customer service location an. Methods and systems are provided for obtaining information related to a customer service location and directions for routing a service technician from one customer service location to another. One embodiment includes requesting at least one set of coordinates associated with the customer service location; accessing a technician server to direct a global satellite positioning system to obtain the set of coordinates for the customer service location; obtaining the coordinates and updating one or more databases with said coordinates. The coordinates may include at least one of a latitude and a longitude associated with the customer service location. Another embodiment includes obtaining through a technician server at least one set of “from” coordinates associated with the first customer service location and at least one set of “to” coordinates associated with the second customer location; transmitting the “from” and “to” coordinates to a mapping system; and, generating directions in the mapping system based on the “to” and “from” coordinates. At least one of the sets of coordinates includes latitude and longitude data. System and computer-readable media embodiments of these methods are also provided."
GG0600002,A system for compensating electromagnetic interfering fields is provided that includes two triaxial,"A system for compensating electromagnetic interfering fields is provided that includes two triaxial magnetic field sensors for outputting real sensor signals; six compensation coils, which are arranged as a cage around an object to be protected, and may individually be actuated; a control unit having six inputs, and six outputs, and a digital processor receiving the sensor signals on the input side, and processing the signals to control signals for the compensation coils. The real sensor signals are converted to virtual sensor signals by a first matrix multiplication for mapping the interfering fields at the location of the object. The virtual sensor signals are made to modified signals by an operator describing the controller structure. The modified signals are converted to real control signals by a second matrix multiplication, which control signals are individually fed to the six compensation coils.",G06N,"A system for compensating electromagnetic interfering fields is provided that includes two triaxial. A system for compensating electromagnetic interfering fields is provided that includes two triaxial magnetic field sensors for outputting real sensor signals; six compensation coils, which are arranged as a cage around an object to be protected, and may individually be actuated; a control unit having six inputs, and six outputs, and a digital processor receiving the sensor signals on the input side, and processing the signals to control signals for the compensation coils. The real sensor signals are converted to virtual sensor signals by a first matrix multiplication for mapping the interfering fields at the location of the object. The virtual sensor signals are made to modified signals by an operator describing the controller structure. The modified signals are converted to real control signals by a second matrix multiplication, which control signals are individually fed to the six compensation coils."
GG0600003,A rotating Doppler Frequency shifter comprises spiral members which surround a first mirror affixed,"A rotating Doppler Frequency shifter comprises spiral members which surround a first mirror affixed to a rotating shaft, and a second mirror affixed to an arm which extends from the shaft and rotates therewith. Each spiral member has a reflective inner surface which is shaped such as to reflect a signal impinging thereon back along its entry path. This arrangement provides for a continuous Doppler frequency shifting of the input signal.",G06N,"A rotating Doppler Frequency shifter comprises spiral members which surround a first mirror affixed. A rotating Doppler Frequency shifter comprises spiral members which surround a first mirror affixed to a rotating shaft, and a second mirror affixed to an arm which extends from the shaft and rotates therewith. Each spiral member has a reflective inner surface which is shaped such as to reflect a signal impinging thereon back along its entry path. This arrangement provides for a continuous Doppler frequency shifting of the input signal."
GG0600004,An “ownership tag” in a special area of memory of a computer system identifies an owner of the compu,"An “ownership tag” in a special area of memory of a computer system identifies an owner of the computer system by displaying the ownership tag during initialization of the computer system. The ownership tag may be presented during the installation and execution of the Basic Input Output System (BIOS) preferably during Power on Self Test (POST) process. An administrator may access the ownership tag by interrupting the process by pressing the an appropriate key, which transitions the computer to an administrator set up mode. An administrator able to enter the administrator password may then alter the contents of the protected memory, changing the ownership tag. The ownership tag is preferably stored in a region of memory not accessible to a typical user, but accessible to an administrator aware of the administrator password. The ownership tag is stored in a flash memory, which is very difficult to remove from the system board, or to modify without administrator-level security access. This makes it superior to conventional storage mechanisms such as RTC RPM, hard disk, etc. since these are easily modifiable and/or easily removable.",G06N,"An “ownership tag” in a special area of memory of a computer system identifies an owner of the compu. An “ownership tag” in a special area of memory of a computer system identifies an owner of the computer system by displaying the ownership tag during initialization of the computer system. The ownership tag may be presented during the installation and execution of the Basic Input Output System (BIOS) preferably during Power on Self Test (POST) process. An administrator may access the ownership tag by interrupting the process by pressing the an appropriate key, which transitions the computer to an administrator set up mode. An administrator able to enter the administrator password may then alter the contents of the protected memory, changing the ownership tag. The ownership tag is preferably stored in a region of memory not accessible to a typical user, but accessible to an administrator aware of the administrator password. The ownership tag is stored in a flash memory, which is very difficult to remove from the system board, or to modify without administrator-level security access. This makes it superior to conventional storage mechanisms such as RTC RPM, hard disk, etc. since these are easily modifiable and/or easily removable."
GG0600005,"A method for investigating a sample ( 1 ), derived from a biological source, using CARS microscopy i","A method for investigating a sample ( 1 ), derived from a biological source, using CARS microscopy is proposed, in which method a resonance signal generated by coherent anti-Stokes Raman scattering by excitation of at least one resonance site ( 5 ) of the sample ( 1 ) by means of laser irradiation is sensed in image-producing fashion. The method according to the present invention encompasses furnishing at least one resonance site ( 5 ) by means of a bioorthogonal reaction of an intrinsic chemical structure ( 2 ) of the sample ( 1 ) with at least one reaction partner ( 3, 6 ).",G06N,"A method for investigating a sample ( 1 ), derived from a biological source, using CARS microscopy i. A method for investigating a sample ( 1 ), derived from a biological source, using CARS microscopy is proposed, in which method a resonance signal generated by coherent anti-Stokes Raman scattering by excitation of at least one resonance site ( 5 ) of the sample ( 1 ) by means of laser irradiation is sensed in image-producing fashion. The method according to the present invention encompasses furnishing at least one resonance site ( 5 ) by means of a bioorthogonal reaction of an intrinsic chemical structure ( 2 ) of the sample ( 1 ) with at least one reaction partner ( 3, 6 )."
GG0600006,A method for determining the presence of malignancy disease in a subject person includes obtaining a,"A method for determining the presence of malignancy disease in a subject person includes obtaining a test sample of blood plasma from the person, measuring intensities of Raman scattering from the plasma at frequencies in the frequency shift range between 1000 cm -1  and 1600 cm -1 , and comparing the intensities to intensities of Raman scattering, at comparable frequencies, from normal human plasma.",G06N,"A method for determining the presence of malignancy disease in a subject person includes obtaining a. A method for determining the presence of malignancy disease in a subject person includes obtaining a test sample of blood plasma from the person, measuring intensities of Raman scattering from the plasma at frequencies in the frequency shift range between 1000 cm -1  and 1600 cm -1 , and comparing the intensities to intensities of Raman scattering, at comparable frequencies, from normal human plasma."
GG0600007,A solid-state accelerometer module adapted to control the operation of the taillights in a motor veh,"A solid-state accelerometer module adapted to control the operation of the taillights in a motor vehicle for warning the driver of the trailing motor vehicle of a deceleration of the lead vehicle. A retrofit tail lamp contains the solid-state accelerometer module within its housing and by means of at least two separate lamp filaments, the tail lamp can replace the original tail lamp. A motor vehicle may have a receiving antenna and a transmitting antenna electrically connected to a receiver and a transmitter respectively located in the module. The transmitting-receiving system may be located on two different vehicles so that the following vehicle is quickly notified of the deceleration of the lead vehicle.",G06N,"A solid-state accelerometer module adapted to control the operation of the taillights in a motor veh. A solid-state accelerometer module adapted to control the operation of the taillights in a motor vehicle for warning the driver of the trailing motor vehicle of a deceleration of the lead vehicle. A retrofit tail lamp contains the solid-state accelerometer module within its housing and by means of at least two separate lamp filaments, the tail lamp can replace the original tail lamp. A motor vehicle may have a receiving antenna and a transmitting antenna electrically connected to a receiver and a transmitter respectively located in the module. The transmitting-receiving system may be located on two different vehicles so that the following vehicle is quickly notified of the deceleration of the lead vehicle."
GG0600008,Segmentations used to describe structures to be treated by radiotherapy are evaluated by converting,Segmentations used to describe structures to be treated by radiotherapy are evaluated by converting the segmentations into volume models and examining volume elements that are extra or missing in the volume model of the second segmentation with respect to the volume model of the first segmentation. This characterization of volume elements may be displayed graphically to show differences in segmentations for training or evaluation purposes and may be quantified by a metric method tallying volume elements as optionally weighted by distance from volume elements shared by the segmentation.,G06N,Segmentations used to describe structures to be treated by radiotherapy are evaluated by converting. Segmentations used to describe structures to be treated by radiotherapy are evaluated by converting the segmentations into volume models and examining volume elements that are extra or missing in the volume model of the second segmentation with respect to the volume model of the first segmentation. This characterization of volume elements may be displayed graphically to show differences in segmentations for training or evaluation purposes and may be quantified by a metric method tallying volume elements as optionally weighted by distance from volume elements shared by the segmentation.
GG0600009,"The present inventors devised unique systems, methods, interfaces, and software for managing and lev","The present inventors devised unique systems, methods, interfaces, and software for managing and leveraging knowledge in law firms and potentially other enterprises. For example, one system provides a single user interface for researching case law for online legal research service and identifying and accessing law-firm documents.",G06N,"The present inventors devised unique systems, methods, interfaces, and software for managing and lev. The present inventors devised unique systems, methods, interfaces, and software for managing and leveraging knowledge in law firms and potentially other enterprises. For example, one system provides a single user interface for researching case law for online legal research service and identifying and accessing law-firm documents."
GG0600010,The arithmetic operations performed for floating point format numbers involve procedures having a mu,"The arithmetic operations performed for floating point format numbers involve procedures having a multiplicity of major steps. In the performance of the effective subtraction operation, the determination of absolute value of the difference between the operand exponent arguments must be obtained in order to determine the correct procedure. In the present invention, a difference between a subset of the operand exponent arguments is calculated and the result of this calculation is used to anticipate the correct procedure. By careful selection of the anticipated correct procedure, when the selection is erroneous, the correct result is immediately available. The availabilty of the correct result is achieved by selecting the subset of operand exponent arguments so that, in the event that the result is erroneous, the correct difference is such that the associated operand fraction (i.e., to be shifted by the amount of the difference) is shifted completely out of the operand fraction field (stored in a register).",G06N,"The arithmetic operations performed for floating point format numbers involve procedures having a mu. The arithmetic operations performed for floating point format numbers involve procedures having a multiplicity of major steps. In the performance of the effective subtraction operation, the determination of absolute value of the difference between the operand exponent arguments must be obtained in order to determine the correct procedure. In the present invention, a difference between a subset of the operand exponent arguments is calculated and the result of this calculation is used to anticipate the correct procedure. By careful selection of the anticipated correct procedure, when the selection is erroneous, the correct result is immediately available. The availabilty of the correct result is achieved by selecting the subset of operand exponent arguments so that, in the event that the result is erroneous, the correct difference is such that the associated operand fraction (i.e., to be shifted by the amount of the difference) is shifted completely out of the operand fraction field (stored in a register)."
