patent_id,title,abstract,cpc_code,text,clean_text,processed,tf-idf__kmeans_cluster,lda__kmeans_cluster,sbert__kmeans_cluster,sbert__hierarchical_cluster
GG0600001,Methods and systems are provided for obtaining information related to a customer service location an,"Methods and systems are provided for obtaining information related to a customer service location and directions for routing a service technician from one customer service location to another. One embodiment includes requesting at least one set of coordinates associated with the customer service location; accessing a technician server to direct a global satellite positioning system to obtain the set of coordinates for the customer service location; obtaining the coordinates and updating one or more databases with said coordinates. The coordinates may include at least one of a latitude and a longitude associated with the customer service location. Another embodiment includes obtaining through a technician server at least one set of “from” coordinates associated with the first customer service location and at least one set of “to” coordinates associated with the second customer location; transmitting the “from” and “to” coordinates to a mapping system; and, generating directions in the mapping system based on the “to” and “from” coordinates. At least one of the sets of coordinates includes latitude and longitude data. System and computer-readable media embodiments of these methods are also provided.",G06N,"Methods and systems are provided for obtaining information related to a customer service location an. Methods and systems are provided for obtaining information related to a customer service location and directions for routing a service technician from one customer service location to another. One embodiment includes requesting at least one set of coordinates associated with the customer service location; accessing a technician server to direct a global satellite positioning system to obtain the set of coordinates for the customer service location; obtaining the coordinates and updating one or more databases with said coordinates. The coordinates may include at least one of a latitude and a longitude associated with the customer service location. Another embodiment includes obtaining through a technician server at least one set of “from” coordinates associated with the first customer service location and at least one set of “to” coordinates associated with the second customer location; transmitting the “from” and “to” coordinates to a mapping system; and, generating directions in the mapping system based on the “to” and “from” coordinates. At least one of the sets of coordinates includes latitude and longitude data. System and computer-readable media embodiments of these methods are also provided.",methods and systems are provided for obtaining information related to a customer service location an methods and systems are provided for obtaining information related to a customer service location and directions for routing a service technician from one customer service location to another one embodiment includes requesting at least one set of coordinates associated with the customer service location accessing a technician server to direct a global satellite positioning system to obtain the set of coordinates for the customer service location obtaining the coordinates and updating one or more databases with said coordinates the coordinates may include at least one of a latitude and a longitude associated with the customer service location another embodiment includes obtaining through a technician server at least one set of from coordinates associated with the first customer service location and at least one set of to coordinates associated with the second customer location transmitting the from and to coordinates to a mapping system and generating directions in the mapping system based on the to and from coordinates at least one of the sets of coordinates includes latitude and longitude data system and computer readable media embodiments of these methods are also provided,methods systems provided obtaining information related customer service location methods systems provided obtaining information related customer service location directions routing service technician customer service location another requesting set coordinates associated customer service location accessing technician server direct global satellite positioning obtain set coordinates customer service location obtaining coordinates updating databases said coordinates coordinates include latitude longitude associated customer service location another obtaining technician server set coordinates associated customer service location set coordinates associated customer location transmitting coordinates mapping generating directions mapping coordinates sets coordinates latitude longitude data computer readable media embodiments methods provided,0,0,0,1
GG0600002,A system for compensating electromagnetic interfering fields is provided that includes two triaxial,"A system for compensating electromagnetic interfering fields is provided that includes two triaxial magnetic field sensors for outputting real sensor signals; six compensation coils, which are arranged as a cage around an object to be protected, and may individually be actuated; a control unit having six inputs, and six outputs, and a digital processor receiving the sensor signals on the input side, and processing the signals to control signals for the compensation coils. The real sensor signals are converted to virtual sensor signals by a first matrix multiplication for mapping the interfering fields at the location of the object. The virtual sensor signals are made to modified signals by an operator describing the controller structure. The modified signals are converted to real control signals by a second matrix multiplication, which control signals are individually fed to the six compensation coils.",G06N,"A system for compensating electromagnetic interfering fields is provided that includes two triaxial. A system for compensating electromagnetic interfering fields is provided that includes two triaxial magnetic field sensors for outputting real sensor signals; six compensation coils, which are arranged as a cage around an object to be protected, and may individually be actuated; a control unit having six inputs, and six outputs, and a digital processor receiving the sensor signals on the input side, and processing the signals to control signals for the compensation coils. The real sensor signals are converted to virtual sensor signals by a first matrix multiplication for mapping the interfering fields at the location of the object. The virtual sensor signals are made to modified signals by an operator describing the controller structure. The modified signals are converted to real control signals by a second matrix multiplication, which control signals are individually fed to the six compensation coils.",a system for compensating electromagnetic interfering fields is provided that includes two triaxial a system for compensating electromagnetic interfering fields is provided that includes two triaxial magnetic field sensors for outputting real sensor signals six compensation coils which are arranged as a cage around an object to be protected and may individually be actuated a control unit having six inputs and six outputs and a digital processor receiving the sensor signals on the input side and processing the signals to control signals for the compensation coils the real sensor signals are converted to virtual sensor signals by a first matrix multiplication for mapping the interfering fields at the location of the object the virtual sensor signals are made to modified signals by an operator describing the controller structure the modified signals are converted to real control signals by a second matrix multiplication which control signals are individually fed to the six compensation coils,compensating electromagnetic interfering fields provided triaxial compensating electromagnetic interfering fields provided triaxial magnetic field sensors outputting real sensor signals six compensation coils arranged cage around object protected individually actuated control unit having six inputs six outputs digital processor receiving sensor signals input side processing signals control signals compensation coils real sensor signals converted virtual sensor signals matrix multiplication mapping interfering fields location object virtual sensor signals made modified signals operator describing controller structure modified signals converted real control signals matrix multiplication control signals individually fed six compensation coils,0,0,0,1
GG0600003,A rotating Doppler Frequency shifter comprises spiral members which surround a first mirror affixed,"A rotating Doppler Frequency shifter comprises spiral members which surround a first mirror affixed to a rotating shaft, and a second mirror affixed to an arm which extends from the shaft and rotates therewith. Each spiral member has a reflective inner surface which is shaped such as to reflect a signal impinging thereon back along its entry path. This arrangement provides for a continuous Doppler frequency shifting of the input signal.",G06N,"A rotating Doppler Frequency shifter comprises spiral members which surround a first mirror affixed. A rotating Doppler Frequency shifter comprises spiral members which surround a first mirror affixed to a rotating shaft, and a second mirror affixed to an arm which extends from the shaft and rotates therewith. Each spiral member has a reflective inner surface which is shaped such as to reflect a signal impinging thereon back along its entry path. This arrangement provides for a continuous Doppler frequency shifting of the input signal.",a rotating doppler frequency shifter comprises spiral members which surround a first mirror affixed a rotating doppler frequency shifter comprises spiral members which surround a first mirror affixed to a rotating shaft and a second mirror affixed to an arm which extends from the shaft and rotates therewith each spiral member has a reflective inner surface which is shaped such as to reflect a signal impinging thereon back along its entry path this arrangement provides for a continuous doppler frequency shifting of the input signal,rotating doppler frequency shifter spiral members surround mirror affixed rotating doppler frequency shifter spiral members surround mirror affixed rotating shaft mirror affixed arm extends shaft rotates therewith spiral member reflective inner surface shaped reflect signal impinging thereon back along entry path arrangement provides continuous doppler frequency shifting input signal,1,1,1,1
GG0600004,An “ownership tag” in a special area of memory of a computer system identifies an owner of the compu,"An “ownership tag” in a special area of memory of a computer system identifies an owner of the computer system by displaying the ownership tag during initialization of the computer system. The ownership tag may be presented during the installation and execution of the Basic Input Output System (BIOS) preferably during Power on Self Test (POST) process. An administrator may access the ownership tag by interrupting the process by pressing the an appropriate key, which transitions the computer to an administrator set up mode. An administrator able to enter the administrator password may then alter the contents of the protected memory, changing the ownership tag. The ownership tag is preferably stored in a region of memory not accessible to a typical user, but accessible to an administrator aware of the administrator password. The ownership tag is stored in a flash memory, which is very difficult to remove from the system board, or to modify without administrator-level security access. This makes it superior to conventional storage mechanisms such as RTC RPM, hard disk, etc. since these are easily modifiable and/or easily removable.",G06N,"An “ownership tag” in a special area of memory of a computer system identifies an owner of the compu. An “ownership tag” in a special area of memory of a computer system identifies an owner of the computer system by displaying the ownership tag during initialization of the computer system. The ownership tag may be presented during the installation and execution of the Basic Input Output System (BIOS) preferably during Power on Self Test (POST) process. An administrator may access the ownership tag by interrupting the process by pressing the an appropriate key, which transitions the computer to an administrator set up mode. An administrator able to enter the administrator password may then alter the contents of the protected memory, changing the ownership tag. The ownership tag is preferably stored in a region of memory not accessible to a typical user, but accessible to an administrator aware of the administrator password. The ownership tag is stored in a flash memory, which is very difficult to remove from the system board, or to modify without administrator-level security access. This makes it superior to conventional storage mechanisms such as RTC RPM, hard disk, etc. since these are easily modifiable and/or easily removable.",an ownership tag in a special area of memory of a computer system identifies an owner of the compu an ownership tag in a special area of memory of a computer system identifies an owner of the computer system by displaying the ownership tag during initialization of the computer system the ownership tag may be presented during the installation and execution of the basic input output system bios preferably during power on self test post process an administrator may access the ownership tag by interrupting the process by pressing the an appropriate key which transitions the computer to an administrator set up mode an administrator able to enter the administrator password may then alter the contents of the protected memory changing the ownership tag the ownership tag is preferably stored in a region of memory not accessible to a typical user but accessible to an administrator aware of the administrator password the ownership tag is stored in a flash memory which is very difficult to remove from the system board or to modify without administrator level security access this makes it superior to conventional storage mechanisms such as rtc rpm hard disk etc since these are easily modifiable and or easily removable,ownership tag special area memory computer identifies owner compu ownership tag special area memory computer identifies owner computer displaying ownership tag initialization computer ownership tag presented installation execution basic input output bios preferably power self test post process administrator access ownership tag interrupting process pressing appropriate key transitions computer administrator set mode administrator able enter administrator password alter contents protected memory changing ownership tag ownership tag preferably stored region memory accessible typical user accessible administrator aware administrator password ownership tag stored flash memory difficult remove board modify without administrator level security access makes superior conventional storage mechanisms rtc rpm hard disk etc since easily modifiable easily removable,0,0,0,0
GG0600005,"A method for investigating a sample ( 1 ), derived from a biological source, using CARS microscopy i","A method for investigating a sample ( 1 ), derived from a biological source, using CARS microscopy is proposed, in which method a resonance signal generated by coherent anti-Stokes Raman scattering by excitation of at least one resonance site ( 5 ) of the sample ( 1 ) by means of laser irradiation is sensed in image-producing fashion. The method according to the present invention encompasses furnishing at least one resonance site ( 5 ) by means of a bioorthogonal reaction of an intrinsic chemical structure ( 2 ) of the sample ( 1 ) with at least one reaction partner ( 3, 6 ).",G06N,"A method for investigating a sample ( 1 ), derived from a biological source, using CARS microscopy i. A method for investigating a sample ( 1 ), derived from a biological source, using CARS microscopy is proposed, in which method a resonance signal generated by coherent anti-Stokes Raman scattering by excitation of at least one resonance site ( 5 ) of the sample ( 1 ) by means of laser irradiation is sensed in image-producing fashion. The method according to the present invention encompasses furnishing at least one resonance site ( 5 ) by means of a bioorthogonal reaction of an intrinsic chemical structure ( 2 ) of the sample ( 1 ) with at least one reaction partner ( 3, 6 ).",a method for investigating a sample 1 derived from a biological source using cars microscopy i a method for investigating a sample 1 derived from a biological source using cars microscopy is proposed in which method a resonance signal generated by coherent anti stokes raman scattering by excitation of at least one resonance site 5 of the sample 1 by means of laser irradiation is sensed in image producing fashion the method according to the present invention encompasses furnishing at least one resonance site 5 by means of a bioorthogonal reaction of an intrinsic chemical structure 2 of the sample 1 with at least one reaction partner 3 6,investigating sample derived biological source cars microscopy investigating sample derived biological source cars microscopy proposed resonance signal generated coherent anti stokes raman scattering excitation resonance site sample means laser irradiation sensed image producing fashion according encompasses furnishing resonance site means bioorthogonal reaction intrinsic chemical structure sample reaction partner,0,0,0,1
GG0600006,A method for determining the presence of malignancy disease in a subject person includes obtaining a,"A method for determining the presence of malignancy disease in a subject person includes obtaining a test sample of blood plasma from the person, measuring intensities of Raman scattering from the plasma at frequencies in the frequency shift range between 1000 cm -1  and 1600 cm -1 , and comparing the intensities to intensities of Raman scattering, at comparable frequencies, from normal human plasma.",G06N,"A method for determining the presence of malignancy disease in a subject person includes obtaining a. A method for determining the presence of malignancy disease in a subject person includes obtaining a test sample of blood plasma from the person, measuring intensities of Raman scattering from the plasma at frequencies in the frequency shift range between 1000 cm -1  and 1600 cm -1 , and comparing the intensities to intensities of Raman scattering, at comparable frequencies, from normal human plasma.",a method for determining the presence of malignancy disease in a subject person includes obtaining a a method for determining the presence of malignancy disease in a subject person includes obtaining a test sample of blood plasma from the person measuring intensities of raman scattering from the plasma at frequencies in the frequency shift range between 1000 cm 1 and 1600 cm 1 and comparing the intensities to intensities of raman scattering at comparable frequencies from normal human plasma,determining presence malignancy disease subject person obtaining determining presence malignancy disease subject person obtaining test sample blood plasma person measuring intensities raman scattering plasma frequencies frequency shift range comparing intensities intensities raman scattering comparable frequencies normal human plasma,0,0,0,1
GG0600007,A solid-state accelerometer module adapted to control the operation of the taillights in a motor veh,"A solid-state accelerometer module adapted to control the operation of the taillights in a motor vehicle for warning the driver of the trailing motor vehicle of a deceleration of the lead vehicle. A retrofit tail lamp contains the solid-state accelerometer module within its housing and by means of at least two separate lamp filaments, the tail lamp can replace the original tail lamp. A motor vehicle may have a receiving antenna and a transmitting antenna electrically connected to a receiver and a transmitter respectively located in the module. The transmitting-receiving system may be located on two different vehicles so that the following vehicle is quickly notified of the deceleration of the lead vehicle.",G06N,"A solid-state accelerometer module adapted to control the operation of the taillights in a motor veh. A solid-state accelerometer module adapted to control the operation of the taillights in a motor vehicle for warning the driver of the trailing motor vehicle of a deceleration of the lead vehicle. A retrofit tail lamp contains the solid-state accelerometer module within its housing and by means of at least two separate lamp filaments, the tail lamp can replace the original tail lamp. A motor vehicle may have a receiving antenna and a transmitting antenna electrically connected to a receiver and a transmitter respectively located in the module. The transmitting-receiving system may be located on two different vehicles so that the following vehicle is quickly notified of the deceleration of the lead vehicle.",a solid state accelerometer module adapted to control the operation of the taillights in a motor veh a solid state accelerometer module adapted to control the operation of the taillights in a motor vehicle for warning the driver of the trailing motor vehicle of a deceleration of the lead vehicle a retrofit tail lamp contains the solid state accelerometer module within its housing and by means of at least two separate lamp filaments the tail lamp can replace the original tail lamp a motor vehicle may have a receiving antenna and a transmitting antenna electrically connected to a receiver and a transmitter respectively located in the module the transmitting receiving system may be located on two different vehicles so that the following vehicle is quickly notified of the deceleration of the lead vehicle,solid state accelerometer module adapted control operation taillights motor veh solid state accelerometer module adapted control operation taillights motor vehicle warning driver trailing motor vehicle deceleration lead vehicle retrofit tail lamp contains solid state accelerometer module within housing means separate lamp filaments tail lamp replace original tail lamp motor vehicle receiving antenna transmitting antenna electrically connected receiver transmitter respectively located module transmitting receiving located different vehicles following vehicle quickly notified deceleration lead vehicle,0,0,0,1
GG0600008,Segmentations used to describe structures to be treated by radiotherapy are evaluated by converting,Segmentations used to describe structures to be treated by radiotherapy are evaluated by converting the segmentations into volume models and examining volume elements that are extra or missing in the volume model of the second segmentation with respect to the volume model of the first segmentation. This characterization of volume elements may be displayed graphically to show differences in segmentations for training or evaluation purposes and may be quantified by a metric method tallying volume elements as optionally weighted by distance from volume elements shared by the segmentation.,G06N,Segmentations used to describe structures to be treated by radiotherapy are evaluated by converting. Segmentations used to describe structures to be treated by radiotherapy are evaluated by converting the segmentations into volume models and examining volume elements that are extra or missing in the volume model of the second segmentation with respect to the volume model of the first segmentation. This characterization of volume elements may be displayed graphically to show differences in segmentations for training or evaluation purposes and may be quantified by a metric method tallying volume elements as optionally weighted by distance from volume elements shared by the segmentation.,segmentations used to describe structures to be treated by radiotherapy are evaluated by converting segmentations used to describe structures to be treated by radiotherapy are evaluated by converting the segmentations into volume models and examining volume elements that are extra or missing in the volume model of the second segmentation with respect to the volume model of the first segmentation this characterization of volume elements may be displayed graphically to show differences in segmentations for training or evaluation purposes and may be quantified by a metric method tallying volume elements as optionally weighted by distance from volume elements shared by the segmentation,segmentations describe structures treated radiotherapy evaluated converting segmentations describe structures treated radiotherapy evaluated converting segmentations volume models examining volume elements extra missing volume model segmentation respect volume model segmentation characterization volume elements displayed graphically show differences segmentations training evaluation purposes quantified metric tallying volume elements optionally weighted distance volume elements shared segmentation,1,0,0,1
GG0600009,"The present inventors devised unique systems, methods, interfaces, and software for managing and lev","The present inventors devised unique systems, methods, interfaces, and software for managing and leveraging knowledge in law firms and potentially other enterprises. For example, one system provides a single user interface for researching case law for online legal research service and identifying and accessing law-firm documents.",G06N,"The present inventors devised unique systems, methods, interfaces, and software for managing and lev. The present inventors devised unique systems, methods, interfaces, and software for managing and leveraging knowledge in law firms and potentially other enterprises. For example, one system provides a single user interface for researching case law for online legal research service and identifying and accessing law-firm documents.",the present inventors devised unique systems methods interfaces and software for managing and lev the present inventors devised unique systems methods interfaces and software for managing and leveraging knowledge in law firms and potentially other enterprises for example one system provides a single user interface for researching case law for online legal research service and identifying and accessing law firm documents,inventors devised unique systems methods interfaces software managing lev inventors devised unique systems methods interfaces software managing leveraging knowledge law firms potentially enterprises example provides single user interface researching case law online legal research service identifying accessing law firm documents,0,0,0,1
GG0600010,The arithmetic operations performed for floating point format numbers involve procedures having a mu,"The arithmetic operations performed for floating point format numbers involve procedures having a multiplicity of major steps. In the performance of the effective subtraction operation, the determination of absolute value of the difference between the operand exponent arguments must be obtained in order to determine the correct procedure. In the present invention, a difference between a subset of the operand exponent arguments is calculated and the result of this calculation is used to anticipate the correct procedure. By careful selection of the anticipated correct procedure, when the selection is erroneous, the correct result is immediately available. The availabilty of the correct result is achieved by selecting the subset of operand exponent arguments so that, in the event that the result is erroneous, the correct difference is such that the associated operand fraction (i.e., to be shifted by the amount of the difference) is shifted completely out of the operand fraction field (stored in a register).",G06N,"The arithmetic operations performed for floating point format numbers involve procedures having a mu. The arithmetic operations performed for floating point format numbers involve procedures having a multiplicity of major steps. In the performance of the effective subtraction operation, the determination of absolute value of the difference between the operand exponent arguments must be obtained in order to determine the correct procedure. In the present invention, a difference between a subset of the operand exponent arguments is calculated and the result of this calculation is used to anticipate the correct procedure. By careful selection of the anticipated correct procedure, when the selection is erroneous, the correct result is immediately available. The availabilty of the correct result is achieved by selecting the subset of operand exponent arguments so that, in the event that the result is erroneous, the correct difference is such that the associated operand fraction (i.e., to be shifted by the amount of the difference) is shifted completely out of the operand fraction field (stored in a register).",the arithmetic operations performed for floating point format numbers involve procedures having a mu the arithmetic operations performed for floating point format numbers involve procedures having a multiplicity of major steps in the performance of the effective subtraction operation the determination of absolute value of the difference between the operand exponent arguments must be obtained in order to determine the correct procedure in the present invention a difference between a subset of the operand exponent arguments is calculated and the result of this calculation is used to anticipate the correct procedure by careful selection of the anticipated correct procedure when the selection is erroneous the correct result is immediately available the availabilty of the correct result is achieved by selecting the subset of operand exponent arguments so that in the event that the result is erroneous the correct difference is such that the associated operand fraction i e to be shifted by the amount of the difference is shifted completely out of the operand fraction field stored in a register,arithmetic operations performed floating point format numbers involve procedures having arithmetic operations performed floating point format numbers involve procedures having multiplicity major steps performance effective subtraction operation determination absolute value difference operand exponent arguments must obtained order determine correct procedure difference subset operand exponent arguments calculated result calculation anticipate correct procedure careful selection anticipated correct procedure selection erroneous correct result immediately available availabilty correct result achieved selecting subset operand exponent arguments event result erroneous correct difference associated operand fraction shifted amount difference shifted completely operand fraction field stored register,0,0,0,1
